"","mn1","q751","q251","mn2","q752","q252","mn3","q753","q253","years"
"491",0.746577239814968,0.799315376723669,0.692711645984143,1.31605098466042,1.41675304979624,1.21257427042378,1.86202916394189,2.00954871528737,1.71099083350674,2067
"501",0.764833463849572,0.818861218484646,0.709650682330335,1.34761695698577,1.45073439860643,1.2416583152737,1.90583295222122,2.05682286553489,1.75124148138604,2068
"511",0.783066623855719,0.838382366976648,0.726568318719144,1.3791124887746,1.48463991688564,1.27067745809232,1.94949667275569,2.10394585114858,1.79136342310317,2069
"521",0.801275489601341,0.857877505064141,0.743463413679821,1.41053549614094,1.51846736129237,1.29962977884271,1.99301757328254,2.15091470181725,1.83135412964493,2070
"531",0.819458954769708,0.877345448280301,0.760334940716456,1.44188411982884,1.55221473030346,1.32851356445604,2.03639322764885,2.19772679917561,1.87121137165557,2071
"541",0.837616025153662,0.89678513218728,0.777181977353999,1.47315670375718,1.58588024111718,1.35732728906335,2.0796215045218,2.24437984303569,1.91093319068516,2072
"551",0.855745807973329,0.91619560093933,0.794003695226699,1.5043517756064,1.61946230875448,1.38606959610865,2.12270053907758,2.29087182083271,1.95051787317489,2073
"561",0.873847502210419,0.935575996934314,0.810799351109785,1.5354680292529,1.65295952714931,1.41473928216451,2.16562870738547,2.33720097997979,1.98996392691904,2074
"571",0.891920389862365,0.95492555145004,0.827568278804619,1.56650430887525,1.68637065203871,1.44333528228791,2.2084046032306,2.38336580285445,2.02927005976774,2075
"581",0.909963828028773,0.974243576171697,0.84430988179611,1.59745959457317,1.71969458548127,1.47185665676992,2.25102701714335,2.42936498416668,2.0684351603574,2076
"591",0.927977241750964,0.993529455525589,0.861023626608884,1.62833298935522,1.75293036184925,1.50030257914656,2.29349491742537,2.47519741048164,2.10745828067576,2077
"601",0.945960117532959,1.01278263974243,0.877709036795727,1.65912370736506,1.78607713515386,1.52867232535075,2.33580743298218,2.52086214169228,2.14633862028712,2078
"611",0.963911997479036,1.0320026385808,0.894365687498123,1.68983106322829,1.81913416757699,1.55696526389683,2.37796383779053,2.56635839425602,2.18507551205953,2079
"621",0.981832473989231,1.05118901564791,0.91099320052447,1.72045446241342,1.85210081909457,1.58518084699933,2.4199635368448,2.61168552602784,2.2236684092512,2080
"631",0.999721184959609,1.07034138326085,0.927591239896654,1.75099339251024,1.88497653808758,1.61331860253714,2.46180605344184,2.6568430225377,2.26211687382671,2081
"641",1.01757780943937,1.08945939779688,0.944159507820495,1.78144741533841,1.91776085284687,1.6413781267826,2.50349101767674,2.70183048457494,2.30042056588596,2082
"651",1.03540206370121,1.10854275548624,0.960697741039634,1.8118161598073,1.95045336388655,1.66935907782269,2.54501815603445,2.7466476169552,2.33857923410005,2083
"661",1.05319369768571,1.12759118860533,0.977205707536443,1.8420993154555,1.98305373698919,1.69726116960656,2.58638728197274,2.79129421835743,2.37659270705809,2084
"671",1.07095249178406,1.1466044620322,0.993683203546917,1.87229662660531,2.01556169691309,1.7250841665596,2.62759828740237,2.83577017212901,2.41446088543851,2085
"681",1.08867825392704,1.16558237012988,1.01013005085964,1.90240788707384,2.04797702169856,1.75282787871038,2.66865113497901,2.880075437967,2.45218373492615,2086
"691",1.10637081695101,1.18452473392631,1.02654609437182,1.93243293538753,2.08029953751634,1.78049215728147,2.7095458511296,2.924210044392,2.48976127980433,2087
"701",1.12403003621455,1.20343139856262,1.04293119987795,1.96237165045236,2.11252911400651,1.80807689070009,2.75028251974329,2.96817408193931,2.52719359715756,2088
"711",1.14165578744201,1.22230223098434,1.05928525206887,1.9922239476363,2.14466566006114,1.83558200098852,2.79086127646383,3.01196769699907,2.56448081162683,2089
