region,deforested_ tonCO2_ha,error_deforested_percent,degradation_ tonCO2_ha,error_degradation_percent,emission_product_low,emission_product_high
pacific_n,1214.5,19.5,191.5,19.5,0.3,0.8
pacific_c,1848.6,13.9,186.5,13.9,0.3,0.8
pacific_s,2813.9,3.4,325.96,3.4,0.3,0.66
gom,5299.5,6.5,382.2,6.5,0.3,0.66
yucatan,2580.7,11.8,384.8,11.8,0.3,0.66
