region,deforested_ tonCO2_ha,error_deforested_percent,degradation_ tonCO2_ha,error_degradation_percent,emission_product_low,emission_product_high
pacific_n,1156.4,19.5,231.3,19.5,0.3,0.8
pacific_c,1156.4,13.9,231.3,13.9,0.3,0.8
pacific_s,1978.5,3.4,395.7,3.4,0.3,0.66
gom,1911,6.5,382.2,6.5,0.3,0.66
yucatan,1924.2,11.8,384.8,11.8,0.3,0.66
