region,year,area_ha,error_area,area_degraded_ha,error_degraded
pacific_n,1978,197798,5,0,5
pacific_n,2005,186502,3.3,5816,3.3
pacific_n,2010,182072,5,8529,5
pacific_c,1972,16475,5,0,5
pacific_c,2005,6987,3.3,45,3.3
pacific_c,2010,6857,5,399,5
pacific_s,1977,98750,5,0,5
pacific_s,2005,71554,3.3,223,3.3
pacific_s,2010,73006,5,685,5
gom,1975,89650,5,0,5
gom,2005,87474,3.3,128,3.3
gom,2010,85526,5,440,5
yucatan,1980,453635,5,17,5
yucatan,2005,421573,3.3,2739,3.3
yucatan,2010,417025,5,5063,5
